brands,code,ecoscore_grade,ingredients_text,packaging_tags,packaging_text,product_name
"La Laitière, Nestle",3023290009055,e,"Mousse lactée au chocolat au lait (92,0 %) : _Lait_ entier (60,6 %), sucre, chocolat au lait (7,4 %) (sucre, poudre de _lait_ entier, beurre de cacao, pâte de cacao, poudre de lactosérum (_lait_), émulsifiant (lécithine de tournesol), arôme naturel de vanille), crème (_lait_), poudre de cacao maigre, caramel [sucre, sirop de glucose, eau), poudre de cacao, poudre de _lait_ écrémé, lactose (_lait_), sel, gélatine bovine, émulsifiant (E471), épaississant (farine de graines de caroube), arôme,

Sauce au chocolat (8,0 %) : _Lait_ écrémé, sucre, chocolat (0,6 %) [pâte de cacao, sucre, émulsifiant (lécithine de tournesol), arôme naturel de vanille], poudre de cacao maigre, amidon de maïs, épaississant (farine de graines de caroube),","['en:plastic', 'en:pot', 'en:cardboard', 'en:sleeve']",,Secret de mousse
U,3256221848854,a,"Farine complète de BLÉ (France) 58 %, eau, sucre, levure, huile de colza, GLUTEN DE BLÉ, sel, vinaigre d'alcool, farine de BLÉ, émulsifiant : mono - et diglycérides d acides gras, conservateur : propionate de calcium, agent de traitement de la farine : acide ascorbique.","['en:plastic', 'en:bag', 'fr:tranche']",,Pain de mie complet sans croute 500g
nutrail,0819562022791,b,"sunflower seeds, pumpkin seeds, coconut, almonds, pecans, erythritol, butter (pasteurized cream, natural flavor), dried blueberries, cinnamon, salt, monk fruit extract",['en:plastic'],,nutrail nut granola BLUEBERRY CINNAMON sweet & crunchy
Nutella,0009800895007,e,"sugar, palm oil, hazelnuts, skim milk, cocoa, lecithin as emulsifier (soy), vanillin: an artificial flavor,","['en:plastic', 'en:pet-tub']",,Hazelnut Spread with Cocoa
Kirkland Signature,0096619225798,d,"amandes, noix de cajou, graines de courge, graines de chia, graines de lin",['en:plastic'],,beurre de noix mélangées avec graines
Lay's,8901491101844,b,"potato, edible vegetable oil (sunflower oil, corn oil, and/or canola oil), spices and condiments (onion powder, chilli powder, dry mango powder, coriander powder, ginger powder, garlic powder, black pepper powder, turmeric powder, cumin powder, salt, black salt, sugar, tomato powder, citric acid, tartaric acid, natural flavors (e160b)","['en:plastic', 'en:bag', 'en:metallized']",,Lay's Potato Chips
Jif,0051500255650,d,"% DV* Amount/Serving Amount/Serving % DV O Total Fat 16g 20% Total Carb 8g 3% 17% Sat Fat 3.5g Fiber 3g 9% Trans Fat Og Total Sugars 4g Cholest Omg 0% Incl 2g Added Sugars 4% Sodium 80mg 3% Protein 7g 7% 90 Vit D 0mcg 0% 150025565 Vit E 1mg 10% Calcium 18mg 2% Iron 1mg 4% Potas 193mg 4% Niacin 5mg 30% The % Daily Value tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice. HOR LESS OF SALT, MOLASSES. MINIMAL OIL SEPARATION DE FROM PEANUTS, SUGAR, PALM NATURAL INGREDIENTS, CKER COMPANY TUSA IS NATURAL. 0 JAN LOOK FOR THE FLAVOR SEAL CONTAINS NO PRESERVATIVES BEST IF USED NO REFRIGERATION REQUIRED THIS PACKAGE IS RECYCLABLE. HOWEVER, RECYCLING PROGRAMS FOR THIS PACKAGE MAY NOT EXIST IN YOUR AREA. 69568007 1005","['en:plastic', 'en:pot']","% DV* Amount/Serving Amount/Serving % DV O Total Fat 16g 20% Total Carb 8g 3% 17% Sat Fat 3.5g Fiber 3g 9% Trans Fat Og Total Sugars 4g Cholest Omg 0% Incl 2g Added Sugars 4% Sodium 80mg 3% Protein 7g 7% 90 Vit D 0mcg 0% 150025565 Vit E 1mg 10% Calcium 18mg 2% Iron 1mg 4% Potas 193mg 4% Niacin 5mg 30% The % Daily Value tells you how much a nutrient in a serving of food contributes to a daily diet. 2,000 calories a day is used for general nutrition advice. HOR LESS OF SALT, MOLASSES. MINIMAL OIL SEPARATION DE FROM PEANUTS, SUGAR, PALM NATURAL INGREDIENTS, CKER COMPANY TUSA IS NATURAL. 0 JAN LOOK FOR THE FLAVOR SEAL CONTAINS NO PRESERVATIVES BEST IF USED NO REFRIGERATION REQUIRED THIS PACKAGE IS RECYCLABLE. HOWEVER, RECYCLING PROGRAMS FOR THIS PACKAGE MAY NOT EXIST IN YOUR AREA. 69568007 1005",Peanut Butter Spread
FAGE,0689544083009,a,"GRADE A PASTEURIZED SKIMMED MILK AND CREAM, LIVE ACTIVE YOGURT CULTURES (L. BULGARICUS, S. THERMOPHILUS, L. ACIDOPHILUS, BIFIDUS, L. CASEI).",['en:plastic'],"1 PP container to recycle, 1 PP lid to recycle, 1 parchment paper to throw away, 1 foil seal to throw away",Total 5% Milkfat
Florette,3280220872015,not-applicable,Carotte,"['en:plastic', 'en:bag']",,Baby Carottes
Welch's,0034856008187,unknown,"WHOLE FRUIT PUREE (GRAPE, PEACH, ORANGE, STRAWBERRY AND RASPBERRY), CORN SYRUP, SUGAR, MODIFIED CORN STARCH, PORK 
GELATIN, GRAPE JUICE CONCENTRATE, CITRIC ACID (ACIDULANT), LACTIC ACID, NATURAL AND ARTIFICIAL FLAVORS, ASCORBIC ACID (VITAMIN C), ALPHA TOCOPHEROL ACETATE (VITAMIN E), VITAMIN A PALMITATE, CARNAUBA WAX, ANNATTO (COLOR), TURMERIC (COLOR), AND FRUIT AND VEGETABLE JUICE (COLOR)",['en:plastic'],,Fruit Snacks
Skippy,0037600223324,d,"ROASTED PEANUTS SUGAR, HYDROGENATED VEGETABLE OIL (COTTONSEED, SOYBEAN AND RAPESEED OIL) TO PREVENT SEPARATION, SALT.","['en:plastic', 'en:pot', 'en:pet-tub']",,Peanut Butter
"Crownfield,Lidl,Brüggen",4056489255499,a,"63% Hafervollkornflocken, Vollmilchschokoladenstücke (Zucker, Kakaomasse*, Vollmilchpulver, Kakaobutter*, Emulgator: Lecithine), Zartbitterschokoladenplättchen (Kakaomasse, Zucker, Kakaobutter*, Emulgator: Lecithine), Reis-Kakao-Extrudat (Reismehl, Zucker, Glukosesirup, fettarmes Kakaopulver*, Speisesalz), Knuspermüsli [Hafervollkornflocken, Zucker, Palmöl, Weizenvollkornflocken, Reis-Extrudat (Reismehl, Zucker, Weizenkleber, Malzmehl (Gerste, Weizen), Speisesalz), Kokosraspel, kakaohaltiges Getränkepulver (Zucker, fettarmes Kakaopulver*, Dextrose, Speisesalz, natürliches Aroma), Glukose-Fruktose-Sirup, natürliches Aroma], 2% Mandeldragee (Zucker, Mandeln, Invertzuckersirup, Karamellzuckersirup). Kann Spuren von anderen Schalenfrüchten, Erdnüssen, Soja, Sesam, Senf und Lupinen enthalten.","['en:plastic', 'en:hdpe-high-density-polyethylene', 'en:bag', 'en:cardboard', 'en:fsc-cardboard', 'en:pack']",,Schoko Müsli
Simple Mills,0856069005957,b,"Nut & Seed Flour Blend (almonds, sunflower seeds, flax seeds), Tapioca Starch, Cassava Flour, Organic Sunflower Oil, Sea Salt, Organic Onion, Organic Garlic, Rosemary Extract.","['en:plastic', 'en:bag-in-box', 'en:cardboard']",,Almond Flour Crackers Fine Ground Sea Salt
